Record ID,Approved for Gradution,Behavior,Created By ID,Created Date,GPA,Grade Level,Graduation Date,Last Activity Date,Last Modified Date,Last Referenced Date,Last Viewed Date,Parent Email,Parent First Name,Parent Last Name,Student Counselor,Student Name,System Modstamp
"a005e000001pCrmAAE","false","","0055e000000FnlfAAC","05/02/2021T18:30:53.000Z","3.0","9th","05/10/2025","","05/08/2021T21:54:30.000Z","","","jayviouswilliams@gmail.com","Jayvious","Green","a035e000000lEkaAAE","Matt Green","05/08/2021T21:54:30.000Z"
"a005e000001pWMJAA2","false","","0055e000000FnlfAAC","05/04/2021T02:43:22.000Z","4.0","9th","05/20/2025","","05/08/2021T21:54:30.000Z","","","jayviouswilliams@gmail.com","Jayvious","Bad","a035e000000lEkaAAE","Joey Bad","05/08/2021T21:54:30.000Z"
"a005e000001pWMKAA2","false","","0055e000000FnlfAAC","05/04/2021T02:45:49.000Z","3.0","12th","05/20/2021","","05/08/2021T21:54:30.000Z","05/12/2021T05:36:43.000Z","05/12/2021T05:36:43.000Z","jayviouswilliams@gmail.com","Jayvious","Kim","a035e000000lEkaAAE","Wamble Kim","05/08/2021T21:54:30.000Z"
"a005e000001pWMOAA2","false","Good","0055e000000FnlfAAC","05/04/2021T02:44:06.000Z","3.0","10th","05/20/2024","","05/12/2021T14:43:10.000Z","","","jayviouswilliams@gmail.com","Jayvious","Grayson","a035e000000lEkaAAE","Mark Grayson","05/12/2021T14:43:10.000Z"
"a005e000001pWMPAA2","false","Suspended","0055e000000FnlfAAC","05/04/2021T02:45:13.000Z","3.5","11th","05/21/2023","","05/04/2021T04:48:14.000Z","","","jayviouswilliams@gmail.com","Jayvious","Williams","a035e000000lEkaAAE","Green Williams","05/04/2021T04:48:14.000Z"
"a005e000001mAQLAA2","false","Good","0055e000000FnlfAAC","04/19/2021T04:45:36.000Z","3.0","9th","05/21/2025","","05/12/2021T14:24:56.000Z","05/12/2021T14:54:52.000Z","05/12/2021T14:54:52.000Z","jayviouswilliams@gmail.com","Jayvious","G'oblin","a035e000000lEjNAAU","Jean G'oblin","05/18/2021T03:08:55.000Z"
"a005e000001mAQMAA2","false","Good","0055e000000FnlfAAC","04/19/2021T04:49:16.000Z","2.9","10th","05/14/2023","","05/17/2021T19:46:41.000Z","05/17/2021T19:46:41.000Z","05/17/2021T19:46:41.000Z","jayviouswilliams@gmail.com","Jayvious","Stoppable","a035e000000lEjNAAU","Kim Stoppable","05/18/2021T03:08:55.000Z"
"a005e000001mAQNAA2","false","Satisfactory","0055e000000FnlfAAC","04/19/2021T04:49:45.000Z","4.0","11th","05/19/2022","","05/12/2021T14:25:20.000Z","05/17/2021T19:44:51.000Z","05/17/2021T19:44:51.000Z","jayviouswilliams@gmail.com","Jayvious","Possible","a035e000000lEjNAAU","Ron Possible","05/18/2021T03:08:55.000Z"
"a005e000001m9VNAAY","true","Good","0055e000000Fx25AAC","04/19/2021T02:21:00.000Z","4.0","12th","05/12/2021","","05/12/2021T03:34:32.000Z","05/20/2021T15:41:09.000Z","05/20/2021T15:41:09.000Z","jayviouswilliams@gmail.com","Jayvious","Steven","a035e000000lEjNAAU","Barn Steven","05/12/2021T03:34:32.000Z"
"a005e000001mAPrAAM","true","Good","0055e000000FnlfAAC","04/19/2021T04:42:00.000Z","3.7","12th","05/20/2021","","05/12/2021T14:52:22.000Z","05/20/2021T02:26:29.000Z","05/20/2021T02:26:29.000Z","jayviouswilliams@gmail.com","Jayvious","Pinkman","a035e000000lEjNAAU","Jessie Pinkman","05/18/2021T03:08:55.000Z"
"a005e000001mAPsAAM","false","","0055e000000FnlfAAC","04/19/2021T04:50:52.000Z","3.9","12th","05/21/2021","","05/08/2021T21:54:30.000Z","","","jayviouswilliams@gmail.com","Jayvious","Cole","a035e000000lEkaAAE","Jermaine Cole","05/18/2021T03:08:55.000Z"
"a005e000001mAROAA2","false","","0055e000000FnlfAAC","04/19/2021T04:52:58.000Z","2.5","11th","05/17/2023","","05/08/2021T21:54:30.000Z","","","jayviouswilliams@gmail.com","Jayvious","Zah","a035e000000lEjNAAU","Pi Zah","05/18/2021T03:08:55.000Z"
"a005e000001m5L4AAI","false","","0055e000000Fx25AAC","04/19/2021T02:19:26.000Z","3.0","11th","04/18/2024","","05/04/2021T04:27:59.000Z","","","jayviouswilliams@gmail.com","Jayvious","Mack","a035e000000lEjNAAU","Jeff Mack","05/18/2021T03:08:55.000Z"
"a005e000001m2VTAAY","false","","0055e000000FnlfAAC","04/17/2021T23:53:33.000Z","2.7","10th","05/15/2023","","05/08/2021T21:54:30.000Z","","","jayviouswilliams@gmail.com","Jayvious","Harris","a035e000000lEjNAAU","Jeffery Harris","05/18/2021T03:08:55.000Z"
"a005e000001mAREAA2","true","","0055e000000FnlfAAC","04/19/2021T04:52:22.000Z","3.1","12th","05/19/2021","","05/05/2021T04:52:03.000Z","","","jayviouswilliams@gmail.com","Jayvious","Er","a035e000000lEkaAAE","Burg Er","05/18/2021T03:08:55.000Z"
"a005e000001mARFAA2","false","","0055e000000FnlfAAC","04/19/2021T04:55:04.000Z","3.0","10th","05/25/2022","","05/08/2021T21:54:30.000Z","05/17/2021T18:48:16.000Z","05/17/2021T18:48:16.000Z","jayviouswilliams@gmail.com","Jayvious","Luaft","a035e000000lEkaAAE","Joker Luaft","05/18/2021T03:08:55.000Z"
"a005e000001mARGAA2","false","Warning - Suspension","0055e000000FnlfAAC","04/19/2021T04:56:28.000Z","4.0","9th","05/19/2025","","05/12/2021T14:09:21.000Z","05/20/2021T16:43:58.000Z","05/20/2021T16:43:58.000Z","jayviouswilliams@gmail.com","Jayvious","Guin","a035e000000lEkaAAE","Penny Guin","05/18/2021T03:08:55.000Z"
"a005e000001mAP8AAM","false","","0055e000000FnlfAAC","04/19/2021T04:20:04.000Z","3.5","11th","05/23/2023","","05/08/2021T21:54:30.000Z","","","jayviouswilliams@gmail.com","Jayvious","Jorlan","","Mike Jorlan","05/18/2021T03:08:55.000Z"
