Record ID,Approved for Gradution,Behavior,Created By ID,Created Date,Deleted,GPA,Grade Level,Graduation Date,Last Activity Date,Last Modified By ID,Last Modified Date,Last Referenced Date,Last Viewed Date,Owner ID,Parent Email,Parent First Name,Parent Last Name,Student Counselor,Student Name,System Modstamp,Student_Counselor__r.Record ID,Student_Counselor__r.Created By ID,Student_Counselor__r.Created Date,Student_Counselor__r.Deleted,Student_Counselor__r.Education,Student_Counselor__r.Last Activity Date,Student_Counselor__r.Last Modified By ID,Student_Counselor__r.Last Modified Date,Student_Counselor__r.Last Referenced Date,Student_Counselor__r.Last Viewed Date,Student_Counselor__r.Owner ID,Student_Counselor__r.Student Couselor Name,Student_Counselor__r.System Modstamp
"a005e000001pCrmAAE","false","","0055e000000FnlfAAC","05/02/2021T18:30:53.000Z","false","3.0","9th","05/10/2025","","0055e000000FnlfAAC","05/08/2021T21:54:30.000Z","","","0055e000000FnlfAAC","jayviouswilliams@gmail.com","Jayvious","Green","a035e000000lEkaAAE","Matt Green","05/08/2021T21:54:30.000Z","a035e000000lEkaAAE","0055e000000FnlfAAC","04/19/2021T04:50:50.000Z","false","PH.D","","0055e000000FnlfAAC","04/19/2021T04:50:50.000Z","05/01/2021T19:46:35.000Z","05/01/2021T19:46:35.000Z","0055e000000FnlfAAC","Bruno Mars","04/19/2021T04:50:50.000Z"
"a005e000001pWMJAA2","false","","0055e000000FnlfAAC","05/04/2021T02:43:22.000Z","false","4.0","9th","05/20/2025","","0055e000000FnlfAAC","05/08/2021T21:54:30.000Z","","","0055e000000FnlfAAC","jayviouswilliams@gmail.com","Jayvious","Bad","a035e000000lEkaAAE","Joey Bad","05/08/2021T21:54:30.000Z","a035e000000lEkaAAE","0055e000000FnlfAAC","04/19/2021T04:50:50.000Z","false","PH.D","","0055e000000FnlfAAC","04/19/2021T04:50:50.000Z","05/01/2021T19:46:35.000Z","05/01/2021T19:46:35.000Z","0055e000000FnlfAAC","Bruno Mars","04/19/2021T04:50:50.000Z"
"a005e000001pWMKAA2","false","","0055e000000FnlfAAC","05/04/2021T02:45:49.000Z","false","3.0","12th","05/20/2021","","0055e000000FnlfAAC","05/08/2021T21:54:30.000Z","05/12/2021T05:36:43.000Z","05/12/2021T05:36:43.000Z","0055e000000FnlfAAC","jayviouswilliams@gmail.com","Jayvious","Kim","a035e000000lEkaAAE","Wamble Kim","05/08/2021T21:54:30.000Z","a035e000000lEkaAAE","0055e000000FnlfAAC","04/19/2021T04:50:50.000Z","false","PH.D","","0055e000000FnlfAAC","04/19/2021T04:50:50.000Z","05/01/2021T19:46:35.000Z","05/01/2021T19:46:35.000Z","0055e000000FnlfAAC","Bruno Mars","04/19/2021T04:50:50.000Z"
"a005e000001pWMOAA2","false","Good","0055e000000FnlfAAC","05/04/2021T02:44:06.000Z","false","3.0","10th","05/20/2024","","0055e000000FrsJAAS","05/12/2021T14:43:10.000Z","","","0055e000000FnlfAAC","jayviouswilliams@gmail.com","Jayvious","Grayson","a035e000000lEkaAAE","Mark Grayson","05/12/2021T14:43:10.000Z","a035e000000lEkaAAE","0055e000000FnlfAAC","04/19/2021T04:50:50.000Z","false","PH.D","","0055e000000FnlfAAC","04/19/2021T04:50:50.000Z","05/01/2021T19:46:35.000Z","05/01/2021T19:46:35.000Z","0055e000000FnlfAAC","Bruno Mars","04/19/2021T04:50:50.000Z"
"a005e000001pWMPAA2","false","Suspended","0055e000000FnlfAAC","05/04/2021T02:45:13.000Z","false","3.5","11th","05/21/2023","","0055e000000FnlfAAC","05/04/2021T04:48:14.000Z","","","0055e000000FnlfAAC","jayviouswilliams@gmail.com","Jayvious","Williams","a035e000000lEkaAAE","Green Williams","05/04/2021T04:48:14.000Z","a035e000000lEkaAAE","0055e000000FnlfAAC","04/19/2021T04:50:50.000Z","false","PH.D","","0055e000000FnlfAAC","04/19/2021T04:50:50.000Z","05/01/2021T19:46:35.000Z","05/01/2021T19:46:35.000Z","0055e000000FnlfAAC","Bruno Mars","04/19/2021T04:50:50.000Z"
"a005e000001mAQLAA2","false","Good","0055e000000FnlfAAC","04/19/2021T04:45:36.000Z","false","3.0","9th","05/21/2025","","0055e000000FnlfAAC","05/12/2021T14:24:56.000Z","05/12/2021T14:54:52.000Z","05/12/2021T14:54:52.000Z","0055e000000FnlfAAC","jayviouswilliams@gmail.com","Jayvious","G'oblin","a035e000000lEjNAAU","Jean G'oblin","05/18/2021T03:08:55.000Z","a035e000000lEjNAAU","0055e000000FnlfAAC","04/19/2021T04:33:59.000Z","false","PH.D","","0055e000000FnlfAAC","04/19/2021T04:33:59.000Z","05/03/2021T02:44:51.000Z","05/03/2021T02:44:51.000Z","0055e000000FnlfAAC","Sokka O'Water","04/19/2021T04:33:59.000Z"
"a005e000001mAQMAA2","false","Good","0055e000000FnlfAAC","04/19/2021T04:49:16.000Z","false","2.9","10th","05/14/2023","","0055e000000FnlfAAC","05/17/2021T19:46:41.000Z","05/17/2021T19:46:41.000Z","05/17/2021T19:46:41.000Z","0055e000000FnlfAAC","jayviouswilliams@gmail.com","Jayvious","Stoppable","a035e000000lEjNAAU","Kim Stoppable","05/18/2021T03:08:55.000Z","a035e000000lEjNAAU","0055e000000FnlfAAC","04/19/2021T04:33:59.000Z","false","PH.D","","0055e000000FnlfAAC","04/19/2021T04:33:59.000Z","05/03/2021T02:44:51.000Z","05/03/2021T02:44:51.000Z","0055e000000FnlfAAC","Sokka O'Water","04/19/2021T04:33:59.000Z"
"a005e000001mAQNAA2","false","Satisfactory","0055e000000FnlfAAC","04/19/2021T04:49:45.000Z","false","4.0","11th","05/19/2022","","0055e000000FnlfAAC","05/12/2021T14:25:20.000Z","05/17/2021T19:44:51.000Z","05/17/2021T19:44:51.000Z","0055e000000FnlfAAC","jayviouswilliams@gmail.com","Jayvious","Possible","a035e000000lEjNAAU","Ron Possible","05/18/2021T03:08:55.000Z","a035e000000lEjNAAU","0055e000000FnlfAAC","04/19/2021T04:33:59.000Z","false","PH.D","","0055e000000FnlfAAC","04/19/2021T04:33:59.000Z","05/03/2021T02:44:51.000Z","05/03/2021T02:44:51.000Z","0055e000000FnlfAAC","Sokka O'Water","04/19/2021T04:33:59.000Z"
"a005e000001m9VNAAY","true","Good","0055e000000Fx25AAC","04/19/2021T02:21:00.000Z","false","4.0","12th","05/12/2021","","0055e000000FnlfAAC","05/12/2021T03:34:32.000Z","05/12/2021T05:25:39.000Z","05/12/2021T05:25:39.000Z","0055e000000Fx25AAC","jayviouswilliams@gmail.com","Jayvious","Steven","a035e000000lEjNAAU","Barn Steven","05/12/2021T03:34:32.000Z","a035e000000lEjNAAU","0055e000000FnlfAAC","04/19/2021T04:33:59.000Z","false","PH.D","","0055e000000FnlfAAC","04/19/2021T04:33:59.000Z","05/03/2021T02:44:51.000Z","05/03/2021T02:44:51.000Z","0055e000000FnlfAAC","Sokka O'Water","04/19/2021T04:33:59.000Z"
"a005e000001mAPrAAM","true","Good","0055e000000FnlfAAC","04/19/2021T04:42:00.000Z","false","3.7","12th","05/20/2021","","0055e000000FnlfAAC","05/12/2021T14:52:22.000Z","05/20/2021T02:26:29.000Z","05/20/2021T02:26:29.000Z","0055e000000FnlfAAC","jayviouswilliams@gmail.com","Jayvious","Pinkman","a035e000000lEjNAAU","Jessie Pinkman","05/18/2021T03:08:55.000Z","a035e000000lEjNAAU","0055e000000FnlfAAC","04/19/2021T04:33:59.000Z","false","PH.D","","0055e000000FnlfAAC","04/19/2021T04:33:59.000Z","05/03/2021T02:44:51.000Z","05/03/2021T02:44:51.000Z","0055e000000FnlfAAC","Sokka O'Water","04/19/2021T04:33:59.000Z"
